rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
13461,"{""Q0"":""Patricia""}",survey-text,0,13471,0.0-0.0-0.0,TRUE,NA,NA,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
2013,0,html-button-response,1,15486,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
24854,0,html-button-response,2,40335,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine conversations between two speakers, as in this example, where Candy asks a question, and Lenny responds.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Is this house big? </i> <br> <b>Lenny</b>: <i> Cassandra suggested that it's huge. </i> </p>  <p style='text-align:left'> We ask you to judge how well the response fits the question. You will give your judgment on a slider marked 'totally doesn't fit' at one end and 'totally fits' at the other.</p>  <p style='text-align:left'>The experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
10618,62,html-slider-response,3,50955,0.0-2.0-0.0,NA,<b>Alice:</b><em> What did Lucy break?</em><br> <b>Charlotte:</b><em> Tony discovered that she broke the plate.</em> <br> <br> How well does Charlotte's response fit Alice's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
13442,100,html-slider-response,4,64397,0.0-2.0-0.1,NA,<b>Dawn:</b><em> What did Ann steal?</em><br> <b>Noah:</b><em> David confirmed that she stole the money.</em> <br> <br> How well does Noah's response fit Dawn's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
5813,0,html-slider-response,5,70211,0.0-2.0-0.2,NA,<b>Jennifer:</b><em> What does Betsy have?</em><br> <b>Robert:</b><em> She loves dancing salsa.</em> <br> <br> How well does Robert's response fit Jennifer's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
10521,60,html-slider-response,6,80734,0.0-2.0-0.3,NA,"<b>William:</b><em> What did Jack see?</em><br> <b>Bob:</b><em> Jack, who saw the murder, ran away.</em> <br> <br> How well does Bob's response fit William's question?",50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
11507,73,html-slider-response,7,92242,0.0-2.0-0.4,NA,<b>Ken:</b><em> What did Danny eat?</em><br> <b>Oliver:</b><em> Linda confessed that he ate the last cupcake.</em> <br> <br> How well does Oliver's response fit Ken's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
8963,31,html-slider-response,8,101193,0.0-2.0-0.5,NA,"<b>Nora:</b><em> What did Greg buy?</em><br> <b>Steven:</b><em> The neighbor envies Greg, who bought a new car.</em> <br> <br> How well does Steven's response fit Nora's question?",50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
11417,35,html-slider-response,9,112611,0.0-2.0-0.6,NA,<b>Clare:</b><em> What did Dustin lose?</em><br> <b>Leo:</b><em> Patricia knows that he lost his key.</em> <br> <br> How well does Leo's response fit Clare's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
